id,codice_archivio,tipologia,titolo,sottotitolo,prima_responsabilita,altre_responsabilita,luogo,edizione,ente,serie,anno,descrizione,cdd,soggetto,note
359,1993.05,LIBRO,L’antifascismo senese,"Nei documenti della polizia e del Tribunale speciale, 1926-1943",Rineo Cirri,,Siena,Nuova Immagine,,"Siena contemporanea - Quaderni dell'Asmos, n. 1",1993,122 p. ; 25 cm,945.580915,  Siena - Storia - Fonti archivistiche - Antifascismo,"Dalla Serie : Siena contemporanea, Quaderni dell’ASMOS ; 0001"
300,1985.03,LIBRO,Bestiario italiano,,Bruno Caruso,,Siena,Lombardi,,,1985,62 p. :  ill. ; 28 cm,759.5, Bruno  Caruso - Esposizioni,Catalogo dell'omonima mostra presso i magazzini del Sale 22 Maggio- 3 Luglio 1985. Con uno scritto di Mauro Civai
86,1961.01,LIBRO,"Cecco Angiolieri, Quinto Settano e Girolamo Gigli","Conferenza del poeta senese Arrigo Pecchioli nella giornata dei senesi e grossetani in Roma, 8 dicembre 1960",Arrigo Pecchioli,,Siena,Tipografia Senese,,I quaderni de Il Campo di Siena,1961,13 p. ; 21 cm,851.1, Cecco Angiolieri - Quinto Settano -  Girolamo Gigli,
80,1896.03,LIBRO,I pensieri sull'arte e ricordi autobiografici di Giovanni Duprè,Conferenza tenuta il 28 marzo 1896,Orazio Bacci,,Siena,Tip. e Lit. Sordo-Muti di L. lazzeri,,,1896,51 p. ; 19 cm,730.92, Giovanni Duprè,La Contrade possiede due copie di tale opera
223,1917.01,LIBRO,A Giovanni Duprè Siena nel centenario della sua nascita,,Rossi Pietro,"Pignotti Guido, Gallori Emilio",Siena,Tipografia e Litografia Sordomuti ditta Lazzeri,,,1917,92 p. : ill. ; 34 cm,730.924, Giovanni Duprè,"Il volume, rilegato in blossura, è stato pubblicato a cura del comitato senese per le onoranze a Giovanni Duprè, e raccoglie oltre ad una fotografia dell'artista anche 32 tavole delle sue opere più famose"
1091,2004.16,LIBRO,Falsi d’autore,Icilio Federico Joni e la cultura del falso tra Otto e Novecento,Gianni Mazzoni,,Siena,Protagon Editori,Santa Maria della Scala,,2004,247 p. : ill. ; 30 cm,759.5, Icilio Federico Joni - Siena - Esposizioni,"Ristampa anastatica.
L'originale è stato stampato in Siena nel 1819 nella Stamperia Bindi."
1096,1999.14,LIBRO,Tilson,Conjunctions,Joe Tilson,"Mauro Civai, Alessandro Falassi,Marco Pierini",Siena,,Assessorato alla Cultura del Comune di Siena,,1999,71 p. : ill. ; 26x24 cm,759.5, Joe Tilson,
385,1997.09,LIBRO,Pia dè Tolomei,Amore e morte nella Maremma medioevale,Albini Pier Luigi,,Valentano,Scipioni,,,1997,141 p. ; 21 cm,920.72, Pia Dè Tolomei,"Contiene dissertazione critica e relazione di restauro della Trasfigurazione di Girolamo Genga, un capitolo sulla Pieve originaria di San Quirico d' Orcia e uno su Giovanni Antonio Campano, biografo di Pio II Piccolomini.
N° 2 della collana ""Quaderni dell' Opera""."
1828,2002.23,LIBRO,Arte & Alchimia nei Discorsi di P. A. Mattioli,,Claudio Milanesi,,Siena,Terre de Sienne,,,2002,118 p. : ill. ; 22x24 cm,615, Pietro Andrea Mattioli,
1379,1906.01.01,LIBRO,Le fonti di Siena e i loro acquedotti,note storiche dalle origini fino al 1555,Fabio Bargagli Petrucci,,Firenze,Leo S. Olschki,,Vol. I: Testo,1906,"356 p., [30] c. di tav. : ill., 2 c. topogr.",628.150945581, Siena - Storia - Acquedotti,
1378,1906.01.02,LIBRO,Le fonti di Siena e i loro acquedotti,note storiche dalle origini fino al 1555,Fabio Bargagli Petrucci,,Firenze,Leo S. Olschki,,Vol 2: Documenti,1906,604 p. ; 32 cm,628.150945581, Siena - Storia - Acquedotti,
312,2010.15,LIBRO,Vittorio Mariani Architetto e Urbanista 1859 - 1946,Cultura Urbana e Architettonica fra Siena e l'Europa,Maria Antonietta Rovida e Laura Vigni,Maria Luisa Neri,Firenze,Edizioni Polistampa,Comune di Siena e Fondazione Monte dei Paschi,,2010,239 p. : ill. ; 32 cm,720.92, Vittorio Mariani - Architettura,Con dedica al Priore Nicoletta Fabio
1829,1980.17,LIBRO,Le storie di San Benedetto a Monteoliveto Maggiore ,,Enzo Carli,,Milano Siena,Silvana Monte dei paschi di Siena,,,1980,180 p. : in gran parte ill. ; 31 cm,759.558,Abbazia di Monte Oliveto Maggiore ,
1649,1925.03,LIBRO,Da Siena a Monte Oliveto,"guida-ricordo, 5 novembre 1925 : 1625-1925",,,Siena,Stab. arti grafiche S. Bernardino,,,1925,67 p. : ill. ; 23 cm,726.709455854,Abbazia di Monte Oliveto Maggiore - Guide,Pubblicazione edita in copie numerate
